"","prec_num","num_crimes"
"1",113,8046
"2",107,4682
"3",109,8274
"4",114,9124
"5",112,3139
"6",105,7225
"7",100,2936
"8",115,7979
"9",101,4688
"10",108,4519
"11",104,6080
"12",102,5703
"13",103,7313
"14",106,5832
"15",110,6524
"16",111,3010
"17",73,2
"18",121,1
"19",90,1
"20",14,1
"21",13,2
"22",24,1
"23",75,5
"24",72,1
"25",25,1
"26",17,1
"27",41,1
"28",61,1
"29",66,1
