"","approx_year_built","cats_allowed","common_charges","community_district_num","coop_condo","date_of_sale","dining_room_type","dogs_allowed","fuel_type","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_floors_in_building","num_full_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","listing_price_to_nearest_1000","zipcodes"
"1",1955,"no",767,25,"co-op",16847,"combo","no","gas","NA","eat in",995.895,2,6,1,5,45.41,50.15,228000,1011.78,3235.085,82,248405,11355
"2",1955,"no",635.556,25,"co-op",16847,"formal","no","oil","NA","eat in",604,1,7,1,4,100.206666666667,49.19,235500,890,3142.5,89,254510,11354
"3",2004,"no",167,24,"condo",16848,"combo","no","gas","NA","efficiency",535.91,1,1,1,3,165.97,41.69,137550,550,5500,90,321106.666666667,11368
"4",2002,"no",275,25,"condo",16848,"combo","no","gas","NA","eat in",664.07,3,5.06,2,5,130.18,38.62,545000,995.34,2260,94,579136.666666667,11354
"5",1949,"yes",480.896666666667,26,"co-op",16849,"combo","yes","gas","NA","eat in",660,2,2,1,4,61.31,39,241700,675,1551.15,71,214055,11426
"6",1938,"yes",754.49,28,"co-op",16849,"combo","yes","oil","NA","eat in",932,2,6,1,4,132.83,49.78,250000,1000,3081.735,90,274650,11415
"7",1950,"no",494.25,29,"co-op",16850,"combo","no","gas","NA","efficiency",660,1,3.6,1,3,66.45,38.77,145000,662.56,1698.68,72,155770,11423
"8",1960,"no",433.21,28,"co-op",16850,"combo","no","gas","NA","efficiency",514,0,2,1,2,128.26,42.78,109000,375,2238.70333333333,93,148810,11375
"9",1960,"no",681.12,25,"co-op",16853,"combo","no","oil","NA","eat in",781,1,6.65,1,4,20,49.07,212000,865.49,2900.51,70,228691.666666667,11360
"10",2005,"no",335.862647058823,30,"condo",16853,"other","no","gas","NA","eat in",443.58,1,4,1,3,234.1,38.88,535000,681,1320,98,590120,11102
"11",1982,"no",821,25,"condo",16854,"formal","no","gas","yes","eat in",1709.10333333333,2,22,2,5,100.090714285714,45.6,675000,1628.28,5400,82,828050,11360
"12",1982,"no",546,25,"condo",16856,"combo","no","oil","yes","eat in",793.91,1,21,1,4,110.022647058824,44.73,468000,881.9525,3500,82,513220,11360
"13",1961,"yes",707.76,26,"co-op",16857,"combo","no","gas","NA","eat in",829,2,1,1,4,53.53,50.46,220000,889.32,2960.45,78,234523,11362
"14",1960,"yes",730.95,25,"co-op",16857,"combo","no","oil","NA","combo",986,3,2,1,5,20,49.105,280000,950,3215.28,79,286215,11357
"15",1985,"no",238,25,"condo",16857,"formal","yes","gas","yes","eat in",959.95,3,3,2,6,118.22,39.94,533000,1100,3333,85,557336.666666667,11365
"16",1960,"no",730.3,25,"co-op",16857,"combo","no","oil","NA","combo",1000,2,6,2,5,81.4655555555556,48.21,370000,1300,3533.72285714286,88,342936.666666667,11355
"17",1962,"no",781.503333333333,8,"co-op",16857,"formal","no","other","NA","combo",1116.76,2,10.74,2,5,119.535555555556,48.53,392000,1236.95,3499.69285714286,88,381746.666666667,11374
"18",1955,"yes",614.95,28,"co-op",16857,"combo","yes","oil","NA","efficiency",587,1,6,1,3,138.031666666667,49.42,2e+05,706.96,2463.8,90,208285,11375
"19",1963,"no",704.06,28,"co-op",16860,"formal","no","gas","NA","efficiency",1459,2,1,2,5,215,48.36,289550,1163.72,3270.38,91,332166.666666667,11415
"20",1960,"no",605.04,28,"co-op",16861,"combo","no","oil","NA","efficiency",655,1,12,1,3,146.171666666667,49.26,140000,700.355,2498.45,90,171892.5,11415
"21",1956,"no",676.86,28,"co-op",16861,"combo","no","oil","NA","eat in",791,1,7,1,3,127.391666666667,50,175000,805.87,2422.78,92,204093.333333333,11415
"22",1956,"yes",509.65,29,"co-op",16863,"combo","no","oil","NA","efficiency",660,1,2,1,4,60.52,39.06,150000,654.05,1599.32,72,166730,11423
"23",2008,"no",510,24,"condo",16863,"combo","no","gas","NA","efficiency",753.48,3,9,2,7,111.56,32.94,5e+05,991,373,87,509610,11373
"24",1948,"no",687.44,28,"co-op",16864,"formal","no","oil","NA","efficiency",963,1,4.48,1,4,75,49.055,105000,786.37,1926.21,86,155050,11435
"25",1958,"no",810.68,24,"co-op",16864,"other","no","oil","NA","eat in",830,3,6,1,5,111.476666666667,48.745,270000,1150,3408.92,96,324940,11372
"26",1955,"no",564.21,26,"co-op",16867,"combo","no","gas","NA","efficiency",512,1,2,1,3,61.8658333333333,49.41,130000,597.24,2044.63,57,148650,11427
"27",1984,"yes",385,24,"condo",16867,"other","no","gas","NA","eat in",672.8,2,3,1,5,113.03,40.19,527000,1000,3186,68,521370,11379
"28",1954,"yes",599.74,25,"co-op",16867,"formal","no","gas","NA","efficiency",733,2,2,1,5,20,48.49,350000,940.68,2939.175,70,299030,11360
"29",1961,"no",909.40375,26,"co-op",16868,"combo","no","other","NA","efficiency",1103,2,14,1,5,73.1533333333333,48.07,365000,1076.17,3904.36071428571,64,335150,11361
"30",1952,"no",707.26,28,"co-op",16868,"combo","no","oil","NA","efficiency",786,2,6,1,4,132.296666666667,49.86,290000,913.710714285714,3017.105,94,327000,11375
"31",1928,"yes",603.03,30,"co-op",16868,"other","yes","gas","NA","eat in",664.006666666667,1,6.69,1,3,147.386666666667,48.9,285000,850,2881.435,98,319340,11372
"32",1960,"no",748.07,26,"co-op",16870,"combo","no","gas","NA","combo",855,2,6,1,4,100,49.08,380000,900,3528.35,68,336250,11363
"33",1960,"yes",766,27,"co-op",16871,"formal","no","gas","NA","efficiency",850,2,6,2,5,47.97,49.36,255000,1091.71,3325.40285714286,77,252396.666666667,11414
"34",1965,"yes",656.37,24,"co-op",16874,"combo","yes","gas","NA","eat in",685,1,20,1,3,70,45,175000,750,2943.93071428571,73,212570,11385
"35",1952,"no",583.89,25,"co-op",16874,"formal","no","gas","NA","efficiency",500,1,3.73,1,3,55.1183333333333,48.835,138000,619.64,2240.808,80,156666.666666667,11357
"36",2015,"yes",406,30,"condo",16874,"combo","yes","gas","NA","eat in",487.28,1,8,1,3,263.21,39.66,570000,784.46,16,96,642460,11101
"37",2015,"yes",468,30,"condo",16874,"combo","yes","gas","NA","eat in",475.55,1,8,1,3,261.76,39.88,605000,530,19,96,649990,11101
"38",1955,"yes",625.41,26,"co-op",16881,"combo","yes","gas","NA","efficiency",669,1,2,1,4,57.92,49.52,175500,676.6,2453.25,55,191642,11364
"39",1960,"no",802.73,25,"co-op",16882,"formal","no","gas","NA","eat in",845,2,6,1,6,20,49.12,222500,950,2998.59,70,249050,11360
"40",1969,"no",354.084,25,"co-op",16882,"formal","no","oil","yes","eat in",1827,2,17,2,5,135,40,6e+05,1304.42,3700.32266666667,76,648095,11360
"41",1960,"no",766.01,25,"co-op",16883,"combo","no","gas","NA","eat in",1201,2,6,1,5,26,49.45,260000,1070.02,3579.275,80,273750,11360
"42",1952,"yes",632.92,30,"co-op",16883,"other","yes","gas","NA","efficiency",543,1,9,1,3,95,48.96,220000,733.32,2669.12,98,228752.5,11372
"43",1930,"yes",722.75,27,"co-op",16885,"other","no","oil","NA","efficiency",857,2,3.67,1,5,22,50.2155555555556,154000,868.58,2581.94,77,200118,11414
"44",1955,"no",625.06,26,"co-op",16885,"combo","no","oil","NA","efficiency",664,1,2,1,3,49.6333333333333,50,155000,677.885,2224.198,82,168528.666666667,11362
"45",1955,"yes",698.46,28,"co-op",16885,"other","yes","gas","NA","efficiency",739,2,6,1,5,146.29,49.22,327000,984,3305.32,93,312450,11374
"46",1950,"no",460.95,29,"co-op",16888,"combo","no","gas","NA","eat in",576,1,2,1,4,71.4,36.04,106000,648.45,1127,82,155320,11422
"47",1961,"no",852.86,24,"co-op",16888,"combo","no","oil","NA","efficiency",813,2,6,2,6,99.4766666666667,48.88,260000,1200,3257.87,88,292456.666666667,11368
"48",1950,"yes",456.24,26,"co-op",16890,"combo","yes","oil","NA","combo",684,1,2,1,4,61.76,41.25,135000,590,2282.15,58,173150,11004
"49",1945,"no",496.21,29,"co-op",16890,"combo","no","oil","NA","efficiency",720,2,2,1,4,64.62,38.6,124000,702,1619.61,73,170180,11413
"50",1941,"no",769.83,28,"co-op",16890,"formal","no","gas","NA","combo",910,2,6,1,4,152.99,48.97,340000,1000,3251.455,93,332270,11375
"51",1955,"no",737.88,25,"co-op",16891,"combo","no","gas","NA","eat in",814,2,6,1,4,51.7,49.75,233000,924.415714285714,3035.21,85,243975,11354
"52",1968,"no",533.636666666667,24,"co-op",16892,"formal","no","gas","NA","efficiency",392,1,6.96,1,4,128.576666666667,46.01,127500,639.7,2252.93466666667,88,181537.5,11374
"53",1985,"no",210,25,"condo",16892,"combo","no","gas","NA","combo",518.443333333333,1,9,1,3,187.97,41.76,440000,689,2776,93,471816.666666667,11355
"54",1985,"no",426.73,25,"condo",16892,"combo","no","gas","NA","efficiency",495,2,10,1,5,118.948888888889,39.55,610000,954.405,5920,94,643590,11354
"55",1952,"no",512.21,28,"co-op",16892,"combo","no","oil","NA","efficiency",724,1,6,1,3,100,40,131000,750,1512.13,97,157550,11435
"56",1950,"no",772.68,26,"co-op",16895,"combo","no","oil","NA","eat in",846,3,2,1,5,53.69,50.035,275000,980.9,3040.94,77,278028,11362
"57",1965,"yes",486.51,27,"co-op",16896,"formal","no","oil","NA","efficiency",733,1,6,1,3,70,43.01,96000,665.49,2212.618,73,171787.5,11414
"58",1950,"yes",756.24,26,"co-op",16897,"formal","no","gas","NA","efficiency",601,3,2,1,6,67.72,49.835,270000,920.08,2933.535,75,285110,11364
"59",1961,"yes",562.52,26,"co-op",16897,"formal","no","gas","NA","eat in",1118,3,1,2,5,95,46.36,390000,1276.19,3199.39,76,364901.666666667,11362
"60",1949,"no",697.08,28,"co-op",16897,"combo","no","oil","NA","eat in",750,1,6,1,3,125,50,235000,784.87,2655.36,90,235803.333333333,11375
"61",1960,"yes",781.53,28,"co-op",16897,"combo","yes","gas","NA","efficiency",1124,3,12,1,5,170,48.125,436000,1077.02,3257.125,90,449985,11374
"62",1969,"no",564.716666666667,28,"co-op",16898,"combo","no","gas","NA","combo",575,1,6,1,4,127.944666666667,50,145000,673.85,2168.15666666667,90,175980,11415
"63",1949,"no",535,26,"condo",16899,"formal","no","gas","NA","eat in",1193.23166666667,1,8.31333333333333,2,6,95.145,40.68,420000,1300.52,4300,48,481151.666666667,11364
"64",1960,"no",527.42,29,"co-op",16902,"combo","no","gas","NA","eat in",660,1,6.34,1,3,61.68,43.33,130000,750,1943.54,77,162270,11423
"65",1989,"no",305,29,"condo",16902,"combo","no","gas","NA","efficiency",636.785,2,3,2,8,157.47,34.87,420000,1000,1400,94,435800,11432
"66",1964,"no",583.5,28,"co-op",16902,"formal","no","oil","NA","eat in",860,1,23,1,3,163.876666666667,45,275000,825,3030.915,97,304240,11375
"67",1950,"yes",607.12,24,"co-op",16902,"combo","yes","gas","NA","eat in",722,1,5.52,1,3,156.15,50.27,237000,795.39,2710.1,97,250783.333333333,11104
"68",1970,"yes",672.525,25,"co-op",16903,"formal","yes","gas","NA","efficiency",2172,3,9.045,2,7,80,40,4e+05,1800,3474.65666666667,76,482891.666666667,11360
"69",1936,"yes",695.4,28,"co-op",16903,"other","yes","gas","NA","eat in",869,1,6,1,3,90.055,49,235000,1000,2825.85,84,244850,11415
"70",2015,"yes",461,30,"condo",16903,"combo","yes","gas","NA","eat in",455.09,0,8,1,3,264,40.16,596000,532,51,96,638290,11101
"71",1955,"yes",609.1,27,"co-op",16904,"combo","no","gas","NA","efficiency",581,1,6,1,3,21,49.64,155000,675.52,2304.988,77,159593.666666667,11414
"72",1950,"yes",614.77,26,"co-op",16904,"combo","no","oil","NA","efficiency",656,1,2,1,4,57.6125,50.01,145000,586,2259.45,82,164110,11361
"73",1950,"no",456.09,29,"co-op",16905,"combo","no","gas","NA","eat in",573,1,2,1,4,68.34,36.25,113000,647.12,1127,72,156205,11422
"74",1955,"no",640.15,26,"co-op",16906,"combo","no","gas","NA","combo",641,2,2,1,4,33.368,50,162000,671.67,1977.4,69,171652,11427
"75",1964,"yes",662.61,27,"co-op",16909,"formal","yes","gas","NA","efficiency",732,2,2,1,5,46.4033333333333,49.44,145000,822.47,2628.38,73,190210,11414
"76",1961,"yes",519.81,26,"co-op",16909,"combo","no","gas","NA","efficiency",642,1,6,1,3,115,43.84,160000,659.57,2299.548,76,171360,11362
"77",1936,"no",583.33,30,"co-op",16910,"combo","no","oil","NA","eat in",452,0,6.63,1,2,107.775,49.5055555555556,175000,529.94,2184.06,85,177281.111111111,11377
"78",1951,"yes",627.73,25,"co-op",16910,"combo","yes","oil","NA","efficiency",638,1,2,1,3,80.69,50.12,180000,669.61,2196.81,87,195690,11367
"79",1950,"yes",461.33,25,"co-op",16911,"formal","yes","oil","NA","efficiency",746,1,2,1,3,60.02,41.18,164000,664.3,2018.09,63,181355,11367
"80",1958,"no",549.74,29,"co-op",16911,"other","no","gas","NA","eat in",760,1,8,1,3,80,43.615,110000,686.59,1645.01,89,150290,11432
"81",2007,"no",333,24,"condo",16911,"combo","no","gas","yes","eat in",490.13,2,3,2,4,195.99,35.32,476000,863,699,92,501346.666666667,11385
"82",1965,"yes",518,27,"co-op",16912,"other","no","gas","NA","efficiency",745,1,6,1,3,65.2666666666667,43.52,1e+05,629.63,2205.558,77,157660,11414
"83",1950,"yes",607.616666666667,25,"co-op",16912,"formal","no","oil","NA","efficiency",913,2,2,2,4,39.5833333333333,48.84,217500,1004.33,3066.65785714286,81,244749.666666667,11357
"84",1991,"no",293,24,"condo",16912,"combo","no","gas","NA","efficiency",457.475,1,4,1,3,177.76,39.85,235000,602.043928571429,1830,97,308286.666666667,11368
"85",1970,"no",254.044,25,"co-op",16913,"combo","no","gas","NA","efficiency",1342,2,17,2,5,135,40.56,492500,1218.325,3189.795,76,485640,11360
"86",2009,"no",317,25,"condo",16915,"combo","no","gas","NA","eat in",666.64,2,4,2,6,172.49,33.15,550000,1029,93,97,588636.666666667,11355
"87",1950,"no",500.24,16,"co-op",16916,"formal","no","oil","NA","eat in",720,2,6,1,4,59.84,40,120000,718.29,1520.67,76,172210,11423
"88",1969,"no",595,25,"co-op",16916,"other","no","gas","NA","eat in",700.205,1,7.83,1,3,114.076666666667,49.44,210000,750,2920.90666666667,97,256380,11354
"89",1952,"no",772.09,28,"co-op",16917,"combo","no","oil","yes","eat in",815,1,7,1,3,100,49.41,197500,825.93,2647.83,94,220793.333333333,11375
"90",1959,"no",614.84,24,"co-op",16917,"formal","no","oil","NA","eat in",596,1,6,1,3,126.441666666667,49.71,220000,772.79,2715.61,96,243120,11373
"91",1964,"yes",728.46,28,"co-op",16917,"combo","no","gas","NA","combo",860.8,1,14.91,1,3,165.856666666667,49.04,283500,831.08,3435.195,97,304060,11375
"92",1963,"yes",465.21,24,"co-op",16918,"combo","yes","oil","yes","efficiency",458,1,5,1,2,245,47.9,173000,605.18,2456.35,91,201970,11377
"93",1954,"yes",647.48,24,"co-op",16919,"other","no","oil","NA","eat in",597,2,6,1,4,54.985,49.51,169000,850,2402.04,78,200745,11421
"94",1940,"yes",501.17,28,"co-op",16919,"combo","no","oil","NA","efficiency",322,1,6.73,1,3,149.87,44.14,143000,585.538333333333,2168.9,90,165175,11415
"95",1951,"no",737.42,30,"co-op",16919,"combo","no","oil","NA","eat in",849,2,6.395,1,4,98.6166666666667,50.18,170000,897.035714285714,2728.59,94,260750,11369
"96",1965,"yes",561.35,27,"co-op",16923,"other","no","gas","NA","efficiency",753,1,6,1,3,62.5966666666667,48.75,82000,629.08,2248.048,77,155390,11414
"97",1973,"yes",498,25,"condo",16923,"combo","yes","electric","yes","efficiency",623.04,2,13,1,4,162.203333333333,40.65,383000,778,2433,90,386213.333333333,11367
"98",1950,"no",617.18,26,"co-op",16924,"combo","no","gas","NA","efficiency",575,1,6,1,4,55.23,50,165000,699.81,2248.95,77,175782,11364
"99",1950,"no",479.95,28,"co-op",16925,"other","no","gas","NA","eat in",499,1,4.85,1,3,90.59,41.72,185000,632.17,1815.51,85,169411.111111111,11435
"100",1935,"yes",674.43,30,"co-op",16925,"combo","yes","oil","NA","eat in",804,1,7.365,1,3,160.92,49.15,409000,870.386666666667,2991.025,98,399900,11372
"101",1950,"no",584.98,28,"co-op",16926,"combo","no","oil","NA","eat in",475,0,6,1,2,110,50,145000,500,2226.69,94,154350,11375
"102",1980,"no",287,26,"condo",16927,"formal","no","gas","NA","eat in",1293.16,3,2,2,6,122.41,38.47,590000,1410.69333333333,2961,75,621600,11364
"103",1982,"no",811,25,"condo",16927,"combo","no","oil","yes","eat in",1375.05,2,22,2,5,96.0750280112045,45.63,620000,1273.215,4775,82,764613.333333333,11360
"104",2009,"no",269,25,"condo",16927,"combo","no","gas","NA","eat in",459.22,1,4,2,5,221.35,35.83,415000,862,79,97,471000,11355
"105",1950,"yes",563.57,30,"co-op",16929,"combo","yes","oil","NA","efficiency",439,0,6.91,1,1,122.78,49.3,150000,400,2316.83,96,171390,11372
"106",1950,"yes",530.45,26,"co-op",16930,"combo","yes","oil","NA","eat in",698,2,2,1,4,54.11,44.18,267000,767.26,2816.35,55,255365,11004
"107",1965,"yes",821.323333333333,28,"co-op",16930,"formal","yes","gas","yes","combo",1253,1,30,1,4,115,48.06,397000,1050.08,3736.71,92,388430,11375
"108",1950,"no",447.12,28,"co-op",16931,"other","no","gas","NA","efficiency",495,1,4.21,1,3,95,38.28,195000,634.47,1191.29333333333,68,186041.111111111,11375
"109",1951,"yes",766.04,26,"co-op",16931,"combo","no","oil","NA","efficiency",1015,3,2,1,5,50.89,51.005,225000,982.12,3132.065,72,247738,11363
"110",1952,"yes",630.36,30,"co-op",16931,"other","yes","gas","NA","efficiency",559,1,9,1,3,102.726666666667,49.24,210000,720.001428571429,2645.85,98,227512.5,11372
"111",1945,"yes",600.34,25,"co-op",16932,"combo","yes","gas","NA","combo",657.43,1,2.48,1,3,55.1825,49.98,153000,650.175,2331.54666666667,73,179752,11367
"112",1955,"yes",618.1,25,"co-op",16932,"combo","no","gas","NA","eat in",640,1,3.96,1,3,42.415,49.94,170000,691.22,2446.74666666667,82,185910,11354
"113",1942,"no",749.83,25,"co-op",16932,"combo","no","oil","yes","eat in",829,2,3,1,4,100,50.03,243000,953.475714285714,3124.19,90,264520,11367
"114",1950,"yes",652.38,26,"co-op",16933,"combo","yes","gas","NA","eat in",671,2,2,1,4,55.645,49.0375,217761,748.1,2881.74,68,212811.666666667,11364
"115",1990,"no",356,25,"condo",16933,"combo","no","gas","NA","combo",557.26,1,14,1,5,150.09,41.32,439000,650,3630,97,496116.666666667,11354
"116",1965,"no",604.744,28,"co-op",16933,"formal","no","oil","yes","eat in",2757,3,33,2,6,150,32,950000,1718.14,3288.13666666667,99,754370,11375
"117",1950,"yes",468.97,26,"co-op",16934,"formal","yes","oil","NA","eat in",698,2,2,1,3,64.37,40.53,275000,782.695,2511.75666666667,77,261310,11004
"118",1950,"yes",478.93,25,"co-op",16937,"combo","no","oil","NA","eat in",735,1,2,1,3,43.7333333333333,41,132000,700,2102.59666666667,79,163950,11360
"119",1950,"no",460.7,29,"co-op",16938,"combo","no","gas","NA","eat in",539,1,2,1,4,63.3,38.5,109500,700,1281.01,73,162215,11422
"120",1950,"yes",588.54,26,"co-op",16938,"other","yes","gas","NA","eat in",765,3,2,1,5,54.89,48.475,298000,812,2796.24666666667,77,286230,11004
"121",1964,"yes",733.15,28,"co-op",16938,"combo","no","gas","NA","combo",874,1,17.315,1,3,156.026666666667,49.25,285000,840.22,3442.33166666667,97,301210,11375
"122",1965,"yes",853.692,27,"co-op",16939,"formal","yes","oil","NA","efficiency",1148,3,2,1,6,50,48.805,231000,1059,3345.72,77,249730,11414
"123",1950,"yes",640.31,26,"co-op",16940,"combo","yes","gas","NA","eat in",601,2,2,1,4,58.495,48,218340,750.57,2686.66666666667,75,215755,11364
"124",2006,"yes",917,30,"condo",16940,"combo","yes","other","NA","efficiency",901.883666666666,2,13.94,1,4,170.762647058824,46.17,665000,883,2665.77,83,637270,11102
"125",1939,"no",646.633333333333,30,"co-op",16941,"formal","no","gas","NA","efficiency",951,2,6,1,5,125.54,45,399000,950,3006.655,83,375410,11372
"126",1956,"yes",779.95,23,"co-op",16944,"formal","yes","gas","NA","combo",1023,2,6,2,5,63.974126984127,50,350000,1300,3643.57785714286,59,342716.666666667,11364
"127",1915,"yes",724,30,"co-op",16944,"formal","yes","oil","NA","efficiency",938.96,2,5,1,5,175.68,46.42,498000,1002.17,3325.64,99,500570,11372
"128",1950,"no",510.86,26,"co-op",16945,"combo","no","oil","NA","eat in",728,1,3.22,1,3,60.21,41.35,89000,640.63,1923.77666666667,82,151040,11367
"129",1935,"no",579.37,30,"co-op",16946,"combo","no","gas","NA","eat in",523,1,6,1,3,147.156666666667,48.87,278000,700,2701.32333333333,90,264940,11377
"130",1960,"no",866.66,28,"co-op",16946,"formal","no","gas","NA","eat in",1338,3,7,2,6,120,49.12,560000,1300,3910.84,92,507345,11375
"131",1955,"yes",783.01,28,"co-op",16947,"combo","yes","oil","NA","eat in",1077,2,7,2,5,90,50.31,262000,1129.77,2971.335,82,253016.666666667,11435
"132",1950,"yes",807.33,28,"co-op",16947,"other","yes","gas","NA","efficiency",1371,2,2,1,5,75,49.99,215000,1000,3304.89833333333,88,234950,11367
"133",1940,"no",597.51,28,"co-op",16947,"combo","no","gas","NA","eat in",564,1,6,1,3,149.19,50,170000,600,2262.84,94,196170,11374
"134",1961,"no",595.66,28,"co-op",16947,"combo","no","oil","NA","efficiency",543,0,15,1,2,120.71,49.635,78000,545.535,2571.62666666667,99,137656.666666667,11432
"135",1985,"yes",564,25,"condo",16948,"combo","yes","gas","NA","combo",1037.205,2,8.475,2,5,101.122647058824,43.95,630000,1300,4000,59,676940,11360
"136",2015,"no",312,25,"condo",16948,"combo","no","gas","NA","combo",902.015,2,7,2,6,132.35,32.73,489000,6215,14,83,587231,11355
"137",2010,"yes",462,27,"condo",16948,"other","yes","gas","yes","combo",889.95,2,8,2,4,136.61,34.56,630000,1172,22,89,641360,11415
"138",1952,"yes",803.37,28,"co-op",16948,"combo","yes","oil","yes","combo",857,2,7,1,4,143.24,50,359888,1000,3365.92,96,344700,11375
"139",1989,"yes",417,25,"condo",16952,"formal","yes","gas","yes","eat in",1506.84166666667,3,3,3,7,101.772647058824,39.8666666666667,670000,2050,4800,48,746085,11356
"140",1958,"yes",818.08,30,"co-op",16952,"other","yes","gas","NA","efficiency",869,3,9.71,1,5,500,60.155,505000,1035,2980.825,93,477566.666666667,11106
"141",1926,"yes",430.48,30,"co-op",16952,"combo","no","oil","NA","efficiency",757,1,4,1,3,193.43,40,310000,706.855,1769.32,97,299660,11106
"142",1975,"no",784.016666666667,26,"co-op",16953,"combo","no","oil","yes","efficiency",964,1,34,1,3,88,50,375000,800,3654.53833333333,54,327680,11005
"143",1952,"yes",452.18,26,"co-op",16953,"combo","no","gas","NA","efficiency",687,1,2,1,4,62.96,38.67,176000,654.92,1506.6,68,185640,11362
"144",1928,"no",687.12,28,"co-op",16953,"combo","no","oil","NA","eat in",775,1,6,1,3,140.906666666667,49.75,220000,1000,2725.7,90,237770,11415
"145",1989,"yes",480,24,"condo",16954,"combo","yes","gas","NA","eat in",548.23,2,4,1,4,141.49,40.93,459000,807,8178,96,551173.333333333,11373
"146",2009,"no",311,25,"condo",16955,"combo","no","gas","NA","eat in",654.87,2,4,2,6,174.29,33.15,565000,1044,91,97,588346.666666667,11355
"147",1940,"no",985.395,28,"co-op",16958,"formal","no","oil","NA","combo",1498,3,3,2,5,128.64,50,850000,2000,4616.16,76,703980,11375
"148",1947,"no",507.88,30,"co-op",16958,"other","no","oil","NA","efficiency",1098,2,6,1,4,120.13,40,335000,1000,2367.945,96,295140,11372
"149",1956,"no",467.89,25,"co-op",16959,"other","no","gas","NA","eat in",1081,1,6,1,3,100,40,352500,1300,2698.245,35,336430,11357
"150",2007,"no",300,25,"condo",16959,"combo","no","gas","NA","eat in",475.845,2,4,1,5,129.19,36.01,405000,850,396,80,425240,11365
"151",1956.61,"no",769.38,25,"co-op",16959,"combo","no","gas","NA","eat in",895.441,2,7.83,1,4,108.456666666667,49.75,235000,992.215714285714,3346.395,97,277380,11354
"152",1960,"no",902.57,25,"co-op",16961,"formal","no","gas","NA","eat in",1296,2,6,2,6,20,48,370000,1250,3770.64,75,338461.666666667,11360
"153",1950,"yes",621.85,27,"co-op",16961,"combo","no","gas","NA","combo",634,1,1,1,4,44.2333333333333,50.16,120000,800,2300.11666666667,77,170785,11414
"154",1955,"yes",457.416666666667,25,"co-op",16961,"other","no","oil","NA","efficiency",750,1,2,1,3,59.5,35.12,128000,648.876666666667,750,78,166630,11357
"155",1972,"no",626,25,"condo",16961,"combo","no","gas","yes","eat in",890.245,1,22,1,4,99,46.86,475000,874,4000,82,534160,11360
"156",1954,"no",489.49,28,"co-op",16965,"combo","no","gas","NA","eat in",779,2,3.99,1,6,73.55,25,130000,961.01,1099.18,79,196490,11423
"157",2014,"no",275,30,"condo",16965,"combo","no","gas","NA","eat in",659.7025,2,6.4,2,5,199.78,31.64,655000,980,70,99,659880,11372
"158",1965,"yes",430.94,28,"co-op",16966,"combo","yes","oil","yes","efficiency",487,1,12,1,3,121.256666666667,35,142000,664.66,1296.95,88,164976.666666667,11435
"159",1950,"yes",639.62,26,"co-op",16967,"combo","yes","gas","yes","efficiency",655,1,2,1,3,57.13,49.96,155000,650.75,2379.51,60,181062,11364
"160",1959,"no",767.08,25,"co-op",16967,"combo","no","oil","NA","eat in",1210,2,6,1,5,31,50.52,190000,1100,3402.88,75,245570,11360
"161",1971,"yes",319,26,"condo",16968,"combo","yes","gas","yes","eat in",1373.14166666667,3,3,1,6,117.13,38.855,660000,1362.42,4200,68,662360,11362
"162",1983,"yes",187,26,"condo",16968,"formal","yes","gas","NA","eat in",480.208333333333,1,1,1,3,131.93,40.37,408000,702.46,2138,75,399727.5,11364
"163",1987,"no",405,24,"condo",16968,"combo","yes","gas","NA","efficiency",716.82,3,3,2,6,102.89,39.44,460000,1033,3500,84,483056.666666667,11379
"164",1958,"yes",633.78,28,"co-op",16968,"combo","yes","oil","NA","efficiency",727,1,7,1,3,89.21,50.01,160000,800,2139.03666666667,85,171863.333333333,11435
"165",1950,"no",504.69,25,"co-op",16969,"combo","no","electric","NA","eat in",735,1,2,1,3,65.96,41.1,169000,678.25,1890.04,67,180005,11367
"166",1952,"yes",618.63,25,"co-op",16969,"combo","yes","oil","NA","efficiency",676,1,2,1,3,58.25,49.82,170000,677.335,2210.43666666667,83,185140,11358
"167",1937,"yes",575.49,30,"co-op",16972,"combo","no","oil","NA","efficiency",397,0,6,1,2,132.16,48.9455555555556,182000,534.6,2030.46,98,202471.111111111,11372
"168",1952,"yes",657.78,26,"co-op",16973,"combo","no","gas","yes","efficiency",671,1,3.34,1,3,55.3933333333333,50.46,162000,686.34,2334.86,65,178768.666666667,11365
"169",2008,"no",322.736666666667,25,"condo",16973,"combo","no","gas","NA","eat in",614.41,2,4.25,2,5,166.36,33.89,599000,1025.905,184,92,648800,11355
"170",1986,"no",381,25,"condo",16974,"formal","no","gas","NA","eat in",624.1,1,2,1,4,109.41,39.7466666666667,475000,750,3370,59,495387.5,11360
"171",1965,"yes",515,27,"condo",16974,"formal","yes","gas","NA","efficiency",1080.295,2,5.585,2,5,30,40.95,285000,1153.83,3550,76,303840,11414
"172",1963,"no",562.28,28,"co-op",16974,"combo","no","oil","yes","efficiency",612,0,27,1,2,215,48.175,120000,581.52,2371.05666666667,91,174399.166666667,11415
"173",1940,"no",508.7675,28,"co-op",16975,"formal","no","oil","NA","efficiency",1306,3,6.25,2,5,157.36,36,490000,1287.02,1664.03,93,516850,11375
