"","prec_num","approx_year_built","cats_allowed","common_charges","community_district_num","coop_condo","date_of_sale","dining_room_type","dogs_allowed","fuel_type","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_floors_in_building","num_full_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","listing_price_to_nearest_1000","zipcodes","num_train","num_liq","num_crimes"
"456",111,1961,"yes",351.676666666667,26,"co-op",17204,"combo","no","gas","NA","efficiency",560,1,6,1,2,95,32.4933333333333,132500,647.885,1052.5,76,202766.666666667,11362,1,9,3010
"457",111,1951,"yes",766.04,26,"co-op",16931,"combo","no","oil","NA","efficiency",1015,3,2,1,5,50.89,51.005,225000,982.12,3132.065,72,247738,11363,0,7,3010
"458",111,1960,"no",426,26,"condo",17092,"combo","no","gas","NA","efficiency",795.36,1,3,1,5,92.14,39.05,438000,953.32,2800,23,465160,11362,0,4,3010
"459",111,1950,"yes",429.58,26,"co-op",17042,"combo","no","oil","NA","efficiency",664,1,2,1,3,75.67,36.56,189000,682.676666666667,1202.99,68,212990,11362,0,7,3010
"460",111,1953,"yes",438.596666666667,26,"co-op",17200,"combo","no","oil","NA","efficiency",776,1,2,1,3,69.94,35,193000,740.176666666667,1125.65,76,222987.333333333,11362,1,7,3010
"461",111,1953,"yes",409.5,26,"co-op",17064,"combo","no","oil","NA","efficiency",651,1,2,1,3,80.05,35.73,158000,668.181666666667,1172.78,74,204360,11362,0,7,3010
"462",111,1975,"no",1048.46,26,"co-op",17024,"formal","no","oil","yes","eat in",2292,3,34,2,7,168,50,820000,1950,4630.83,54,839820,11005,0,5,3010
"463",111,1950,"yes",588.54,26,"co-op",16938,"other","yes","gas","NA","eat in",765,3,2,1,5,54.89,48.475,298000,812,2796.24666666667,77,286230,11004,0,4,3010
"464",111,1950,"yes",724.63,26,"co-op",17113,"combo","no","gas","NA","efficiency",849,2,2,1,5,61.36,50.41,270000,940.945,3010.785,76,295974,11362,0,7,3010
"465",111,1961,"no",436.056666666667,26,"co-op",17087,"combo","no","gas","NA","efficiency",695,1,6,1,3,86.08,40.42,155000,736.253333333333,2147.958,76,201900,11362,1,9,3010
"466",111,1953,"yes",440.046666666667,26,"co-op",17023,"combo","no","oil","NA","efficiency",722,1,2,1,3,73.51,35,181500,720.866666666667,1093.13,78,202700,11362,0,6,3010
"467",111,1951,"no",700,26,"co-op",17014,"formal","no","gas","NA","combo",846.416666666667,2,2,1,5,44.21,50.06,207000,905.113333333333,2313.41,66,228990,11427,0,7,3010
"468",111,1961,"no",426.336666666667,26,"co-op",17134,"formal","no","oil","NA","efficiency",707,1,7,1,3,86.45,40.7133333333333,2e+05,750,2157.808,79,240665.111111111,11363,2,9,3010
"469",111,1971,"no",324,26,"condo",17123,"combo","no","gas","yes","eat in",1506.395,3,3,2,6,124.75,38.81,687000,1581.34,4200,65,742270,11362,0,6,3010
"470",111,1953,"no",658.01,26,"co-op",17123,"combo","no","gas","yes","efficiency",1037,2,6,2,6,72.68,48.1,321500,1100,3061.375,59,364564,11364,0,6,3010
"471",111,1961,"yes",403.036666666667,26,"co-op",17162,"combo","no","gas","NA","efficiency",666,1,6,1,4,89.9,35.2733333333333,148000,704.04,1191.79,76,200890,11362,1,9,3010
"472",111,1950,"yes",425.465,26,"co-op",17179,"combo","no","gas","NA","eat in",673,1,2,1,3,77.78,32.4433333333333,157000,666.943333333333,1082.97,82,202420,11362,0,7,3010
"473",111,1961,"yes",394.086666666667,26,"co-op",17127,"combo","no","gas","NA","efficiency",642,1,6,1,4,95,38.1833333333333,168000,724.02,1888.538,76,218810,11362,1,9,3010
"474",111,1950,"yes",700.24,26,"co-op",17106,"combo","no","oil","NA","eat in",810,2,2,1,4,59.35,49.97,248500,859.87,2751.08,77,284010,11362,0,7,3010
"475",111,1961,"yes",707.76,26,"co-op",16857,"combo","no","gas","NA","eat in",829,2,1,1,4,53.53,50.46,220000,889.32,2960.45,78,234523,11362,1,9,3010
